complaint_id,category,priority,reason,flag
KM-202401,Other,Standard,Classified as Other with Standard priority flagged for review because the description cites 'Heritage lamp post knocked over by delivery vehicle' spanning multiple categories (Streetlight and Heritage Damage) with standard operational urgency.,NEEDS_REVIEW
KM-202402,Other,Standard,Classified as Other with Standard priority flagged for review because the description cites 'Historic tram road cobblestones broken up by cable laying work' spanning multiple categories (Road Damage and Heritage Damage) with standard operational urgency.,NEEDS_REVIEW
KM-202405,Other,Low,Classified as Other with Low priority flagged for review because the description cites 'Wedding band playing near Tagore Museum at 11pm' spanning multiple categories (Noise and Heritage Damage) with low operational urgency.,NEEDS_REVIEW
KM-202409,Pothole,Standard,Classified as Pothole with Standard priority because the description cites 'Airport access road full of potholes' representing an operational issue without acute safety hazard.,
KM-202410,Pothole,Standard,Classified as Pothole with Standard priority because the description cites 'Pothole causing tyre blowouts' representing an operational issue without acute safety hazard.,
KM-202411,Pothole,Standard,Classified as Pothole with Standard priority because the description cites 'Deep pothole filling with rainwater' representing an operational issue without acute safety hazard.,
KM-202415,Other,Standard,Classified as Other with Standard priority flagged for review because the complaint cites 'new residential complex draining' which does not map cleanly to standard municipal taxonomy without acute safety risk.,NEEDS_REVIEW
KM-202418,Waste,Standard,Classified as Waste with Standard priority because the description cites 'Tourist zone waste overflowing' representing an operational issue without acute safety hazard.,
KM-202421,Road Damage,Urgent,Classified as Road Damage with Urgent priority because the complaint cites 'Footpath broken and sinking' with urgent severity triggered by 'fell'.,
KM-202422,Road Damage,Standard,Classified as Road Damage with Standard priority because the description cites 'Road surface buckled near bridge' representing an operational issue without acute safety hazard.,
KM-202426,Heritage Damage,Standard,Classified as Heritage Damage with Standard priority because the description cites 'Heritage residential building exterior defaced by billboard installation' representing an operational issue without acute safety hazard.,
KM-202430,Other,Standard,Classified as Other with Standard priority flagged for review because the complaint cites 'gas leak smell' which does not map cleanly to standard municipal taxonomy without acute safety risk.,NEEDS_REVIEW
KM-202434,Other,Standard,Classified as Other with Standard priority flagged for review because the description cites 'Street paving removed for utility work — heritage stone not replaced' spanning multiple categories (Road Damage and Heritage Damage) with standard operational urgency.,NEEDS_REVIEW
KM-202436,Other,Standard,Classified as Other with Standard priority flagged for review because the complaint cites 'substation tripped' which does not map cleanly to standard municipal taxonomy without acute safety risk.,NEEDS_REVIEW
KM-202438,Other,Low,Classified as Other with Low priority flagged for review because the description cites 'Street vendors using amplifiers illegally in heritage precinct' spanning multiple categories (Noise and Heritage Damage) with low operational urgency.,NEEDS_REVIEW
