complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole with Standard priority because the description cites 'Large pothole 60cm wide causing tyre damage' representing an operational issue without acute safety hazard.,
PM-202402,Pothole,Urgent,Classified as Pothole with Urgent priority because the complaint cites 'Deep pothole near bus stop' with urgent severity triggered by 'School'.,
PM-202406,Flooding,Standard,Classified as Flooding with Standard priority because the description cites 'Underpass flooded knee-deep after 2hrs rain' representing an operational issue without acute safety hazard.,
PM-202408,Other,Standard,Classified as Other with Standard priority flagged for review because the description cites 'Bus stand flooded' spanning multiple categories (Flooding and Drain Blockage) with standard operational urgency.,NEEDS_REVIEW
PM-202410,Streetlight,Standard,Classified as Streetlight with Standard priority because the description cites 'Three consecutive streetlights out for 10 days' representing an operational issue without acute safety hazard.,
PM-202411,Streetlight,Urgent,Classified as Streetlight with Urgent priority because the complaint cites 'Streetlight flickering and sparking' with urgent severity triggered by 'hazard'.,
PM-202413,Waste,Standard,Classified as Waste with Standard priority because the description cites 'Overflowing garbage bins near vegetable market' representing an operational issue without acute safety hazard.,
PM-202418,Noise,Low,Classified as Noise with Low priority because the description cites 'Wedding venue playing music past midnight on weeknights' representing an operational issue without acute safety hazard.,
PM-202419,Road Damage,Standard,Classified as Road Damage with Standard priority because the description cites 'Road surface cracked and sinking near utility work done 1 month ago' representing an operational issue without acute safety hazard.,
PM-202420,Other,Urgent,Classified as Other with Urgent priority flagged for review because the complaint cites 'manhole cover missing' which falls outside standard taxonomy and poses an acute risk citing 'injury'.,NEEDS_REVIEW
PM-202427,Flooding,Standard,Classified as Flooding with Standard priority because the description cites 'Bridge approach floods in 30mins of rain' representing an operational issue without acute safety hazard.,
PM-202428,Waste,Standard,Classified as Waste with Standard priority because the description cites 'Dead animal not removed for 36 hours' representing an operational issue without acute safety hazard.,
PM-202430,Other,Standard,"Classified as Other with Standard priority flagged for review because the description cites 'Heritage street, lights out' spanning multiple categories (Streetlight and Heritage Damage) with standard operational urgency.",NEEDS_REVIEW
PM-202433,Waste,Standard,Classified as Waste with Standard priority because the description cites 'Bulk waste from apartment renovation dumped on public road' representing an operational issue without acute safety hazard.,
PM-202446,Road Damage,Urgent,Classified as Road Damage with Urgent priority because the complaint cites 'Footpath tiles broken and upturned' with urgent severity triggered by 'fell'.,
