complaint_id,category,priority,reason,flag
AM-202401,Heat Hazard,Standard,Classified as Heat Hazard with Standard priority because the description cites 'Tarmac surface melting at 44°C' representing an operational issue without acute safety hazard.,
AM-202402,Heat Hazard,Standard,Classified as Heat Hazard with Standard priority because the description cites 'Metal bus shelter reaching dangerous temperatures' representing an operational issue without acute safety hazard.,
AM-202405,Other,Urgent,Classified as Other with Urgent priority flagged for review because the complaint cites 'dead trees with split branches' which falls outside standard taxonomy and poses an acute risk citing 'Fall'.,NEEDS_REVIEW
AM-202406,Other,Low,Classified as Other with Low priority flagged for review because the complaint cites 'irrigation system broken' which does not map cleanly to standard municipal taxonomy without acute safety risk.,NEEDS_REVIEW
AM-202407,Other,Urgent,Classified as Other with Urgent priority flagged for review because the complaint cites 'broken bench and upturned paving' which falls outside standard taxonomy and poses an acute risk citing 'Child'.,NEEDS_REVIEW
AM-202410,Pothole,Standard,Classified as Pothole with Standard priority because the description cites 'Pothole on main highway causing morning rush lane closure' representing an operational issue without acute safety hazard.,
AM-202414,Streetlight,Standard,Classified as Streetlight with Standard priority because the description cites 'Residential colony unlit after 9pm' representing an operational issue without acute safety hazard.,
AM-202417,Other,Standard,Classified as Other with Standard priority flagged for review because the description cites 'Night market waste not cleared before morning' spanning multiple categories (Waste and Heritage Damage) with standard operational urgency.,NEEDS_REVIEW
AM-202421,Noise,Low,Classified as Noise with Low priority because the description cites 'Club music audible at residential buildings at 2am' representing an operational issue without acute safety hazard.,
AM-202424,Heat Hazard,Standard,Classified as Heat Hazard with Standard priority because the description cites 'Zoo approach road surface bubbling at 45°C' representing an operational issue without acute safety hazard.,
AM-202429,Heat Hazard,Standard,Classified as Heat Hazard with Standard priority because the description cites 'River walk surface temperature unbearable' representing an operational issue without acute safety hazard.,
AM-202431,Other,Standard,Classified as Other with Standard priority flagged for review because the description cites 'Old city road subsidence near ancient step well' spanning multiple categories (Road Damage and Heritage Damage) with standard operational urgency.,NEEDS_REVIEW
AM-202435,Heat Hazard,Standard,Classified as Heat Hazard with Standard priority because the description cites 'Black metal road dividers storing heat' representing an operational issue without acute safety hazard.,
AM-202444,Waste,Standard,Classified as Waste with Standard priority because the description cites 'Restaurant waste bins overflowing on Sunday night' representing an operational issue without acute safety hazard.,
AM-202445,Other,Standard,Classified as Other with Standard priority flagged for review because the complaint cites 'brt shelter roof glass broken' which does not map cleanly to standard municipal taxonomy without acute safety risk.,NEEDS_REVIEW
